SF PT 1 Elec All Elec + EE - Source Energy|Total (*),SF PT 1 Elec All Elec + EE - Site Energy|Total (E),SF PT 1 Elec All Elec + EE - Source Energy|Total (E),SF PT 1 Elec All Elec + EE - Site Energy|Cooling (E),SF PT 1 Elec All Elec + EE - Site Energy|Heating (E),SF PT 1 Elec All Elec + EE - Site Energy|Cooling Fan/Pump (E),SF PT 1 Elec All Elec + EE - Site Energy|Heating Fan/Pump (E),SF PT 1 Elec All Elec + EE - Site Energy|Hot Water (E),SF PT 1 Elec All Elec + EE - Site Energy|Hot Water - Suppl. (E),SF PT 1 Elec All Elec + EE - Site Energy|Lights (E),SF PT 1 Elec All Elec + EE - Site Energy|Lg. Appl. (E),SF PT 1 Elec All Elec + EE - Site Energy|Vent Fan (E),SF PT 1 Elec All Elec + EE - Site Energy|Misc. (E),SF PT 1 Elec All Elec + EE - Source Energy|Cooling (E),SF PT 1 Elec All Elec + EE - Source Energy|Heating (E),SF PT 1 Elec All Elec + EE - Source Energy|Cooling Fan/Pump (E),SF PT 1 Elec All Elec + EE - Source Energy|Heating Fan/Pump (E),SF PT 1 Elec All Elec + EE - Source Energy|Hot Water (E),SF PT 1 Elec All Elec + EE - Source Energy|Hot Water - Suppl. (E),SF PT 1 Elec All Elec + EE - Source Energy|Lights (E),SF PT 1 Elec All Elec + EE - Source Energy|Lg. Appl. (E),SF PT 1 Elec All Elec + EE - Source Energy|Vent Fan (E),SF PT 1 Elec All Elec + EE - Source Energy|Misc. (E),SF PT 1 Elec All Elec + EE - Living Space|Indoor Temperature,SF PT 1 Elec All Elec + EE - Living Space|Heating Setpoint,SF PT 1 Elec All Elec + EE - Living Space|Cooling Setpoint,SF PT 1 Elec All Elec + EE - Living Space|Indoor Humidity,SF PT 1 Elec All Elec + EE - Living Space|Indoor Relative Humidity,SF PT 1 Elec All Elec + EE - Living Space|Wind Speed (at Building),SF PT 1 Elec All Elec + EE - Living Space|Infiltration + Mech. Vent.,SF PT 1 Elec All Elec + EE - Living Space|Infiltration,SF PT 1 Elec All Elec + EE - Living Space|Mech. Vent. (rated),SF PT 1 Elec All Elec + EE - Living Space|Natural Ventilation,SF PT 1 Elec All Elec + EE - Living Space|System Flow Rate to Zone,SF PT 1 Elec All Elec + EE - Living Space|Zone Glazing Transmitted Solar,SF PT 1 Elec All Elec + EE - Living Space|Latent Gains/Losses,SF PT 1 Elec All Elec + EE - Unfinished Attic|Indoor Temperature,SF PT 1 Elec All Elec + EE - Unfinished Attic|Indoor Humidity,SF PT 1 Elec All Elec + EE - Unfinished Attic|Indoor Relative Humidity,SF PT 1 Elec All Elec + EE - Unfinished Attic|Infiltration,SF PT 1 Elec All Elec + EE - Domestic Water System|Hot Water Use Flow Rate,SF PT 1 Elec All Elec + EE - Domestic Water System|Cold Water Use Flow Rate,SF PT 1 Elec All Elec + EE - Domestic Water System|Water Heater Inlet Temperature,SF PT 1 Elec All Elec + EE - Domestic Water System|Delivered Hot Water Temperature,SF PT 1 Elec All Elec + EE - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),SF PT 1 Elec All Elec + EE - Domestic Water System|HPWH Latent Heat Removed,SF PT 1 Elec All Elec + EE - Delivered Energy|Heating Delivered (main),SF PT 1 Elec All Elec + EE - Delivered Energy|Cooling Delivered (sensible),SF PT 1 Elec All Elec + EE - Delivered Energy|Cooling Delivered (latent),SF PT 1 Elec All Elec + EE - Delivered Energy|DHW Delivered Energy,SF PT 1 Elec All Elec + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,SF PT 1 Elec All Elec + EE - Weather|Outdoor Drybulb,SF PT 1 Elec All Elec + EE - Weather|Outdoor Wetbulb,SF PT 1 Elec All Elec + EE - Weather|Outdoor Dew Point,SF PT 1 Elec All Elec + EE - Weather|Ground Temperature,SF PT 1 Elec All Elec + EE - Weather|Outdoor Humidity Ratio,SF PT 1 Elec All Elec + EE - Weather|Direct Normal Solar,SF PT 1 Elec All Elec + EE - Weather|Total Horizontal Solar,SF PT 1 Elec All Elec + EE - Weather|Diffuse Horizontal Solar,SF PT 1 Elec All Elec + EE - Weather|Wind Speed (at Weather Station),SF PT 1 Elec All Elec + EE - Weather|Wind Direction,SF PT 1 Elec All Elec + EE - Weather|Atmospheric Pressure,SF PT 1 Elec All Elec + EE - Weather|Outdoor Air Density,SF PT 1 Elec All Elec + EE - Weather|Sky Temperature,SF PT 1 Elec All Elec + EE - Weather|Sky Radiation Losses,SF PT 1 Elec All Elec + EE - Weather|Total Vertical Solar,SF PT 1 Elec All Elec + EE - Weather|Mains Water Temperature
20128.44822,1.872797,20128.44822,0,0.072386,0,0.002115,0.197213,0.75,0.119115,0.262726,0,0.469242,0,777.992659,0,22.728016,2119.607932,8060.85,1280.221803,2823.726128,0,5043.321682,72.363914,71,95,0.003491,20.33096,0.670001,50.864781,50.864781,0,0,30.855571,3912.538521,2366.659174,55.793789,0.001778,18.682147,194.262265,46.244604,7.460188,64.696598,119.067974,414.001901,0,1188.182738,0,0,18399.97411,221.54784,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.239004,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.706852,64.696598
58275.27665,5.422066,58275.27665,0,0,0,0,0.003,4.5625,0.115876,0.271447,0,0.469242,0,0,0,0,32.2434,49036.8375,1245.413454,2917.460616,0,5043.321682,74.135236,71,95,0.003673,20.146608,1.121047,113.471949,13.47195,99.999999,0,0,3857.19597,103.039861,66.002122,0.001741,12.70252,330.794285,28.717279,0,64.696598,84.386438,0,0,0,0,0,4312.9864,200.941047,56.075,39.532815,11.675,61.095585,0.001533,318.279529,180.938545,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.117287,64.696598
31685.44748,2.948087,31685.44748,0,0,0,0,0.003,2.0625,0.111389,0.291043,0,0.480155,0,0,0,0,32.2434,22167.3375,1197.18743,3128.070917,0,5160.608233,75.67858,71,95,0.003649,19.003259,0.503595,46.534645,46.534645,0,0,0,3450.810629,-240.297684,74.505776,0.001688,9.209076,376.014483,0.927301,0.112567,64.696598,103.416291,0,0,0,0,0,364.798384,159.727459,57.515,39.998786,9.725,61.095585,0.001411,327.181529,201.130176,20.260636,0.958333,180,0.97508,0.07462,21.875969,92.057777,128.237145,64.696598
9601.463766,0.893342,9601.463766,0,0,0,0,0.003,0,0.10815,0.291124,0,0.491067,0,0,0,0,32.2434,0,1162.379081,3128.946502,0,5277.894784,77.575259,71,95,0.00363,17.748762,0.33719,46.716636,46.716636,0,0,0,3235.645515,-203.789401,81.250236,0.001604,6.991847,428.702581,3.597148,1.327607,64.696598,124.280548,0,0,0,0,0,1858.827067,139.120665,58.475,40.26203,8.6,61.095585,0.001311,325.649434,198.710762,20.23422,0.641667,180,0.97508,0.074494,22.426695,92.480424,116.03755,64.696598
9842.837121,0.9158,9842.837121,0,0,0,0,0.003,0,0.107197,0.314535,0,0.491067,0,0,0,0,32.2434,0,1152.136213,3380.562724,0,5277.894784,78.851545,71,95,0.003606,16.907298,1.620264,69.136949,69.136949,0,0,0,3232.574665,-502.240029,83.05925,0.001527,6.262588,528.689963,0.593389,0.73592,64.696598,126.963439,0,0,0,0,0,307.926752,123.640763,59.42,40.896068,9.02,61.095585,0.001375,313.102104,173.78873,19.732327,3.083333,180,0.97508,0.07435,23.422608,93.246472,105.266026,64.696598
9881.005311,0.919351,9881.005311,0,0,0,0,0.029122,0.0025,0.108493,0.299082,0,0.480155,0,0,0,0,312.994181,26.8695,1166.06034,3214.473057,0,5160.608233,80.074393,71,95,0.003614,16.284519,2.303402,89.84695,89.84695,0,0,0,3114.923745,2220.392007,79.230968,0.001496,6.955544,563.616977,52.332343,8.319767,64.696598,117.250936,131.256019,0,0,0,0,19448.16734,123.640763,59.93,41.320406,10.16,61.095585,0.001446,284.837593,128.726793,17.936078,4.383333,185.833333,0.97508,0.074269,24.24165,93.880442,109.720304,64.696598
58530.65977,5.445827,58530.65977,0,0,0,0,0.003,4.5,0.116959,0.323887,0,0.50198,0,0,0,0,32.2434,48365.1,1257.057249,3481.077782,0,5395.181335,79.3548,71,72,0.003703,17.07239,2.075689,81.833154,81.833154,0,0,0,3033.699983,-635.525822,74.888229,0.001489,7.997418,500.647763,1.173252,0.768675,64.696598,97.563575,0,0,0,0,0,449.83603,108.193936,59.765,41.364647,11.285,61.095585,0.001502,233.987888,71.041322,13.498285,3.95,190,0.97508,0.074286,24.344116,93.959688,98.167852,64.696598
26714.67854,2.485595,26714.67854,0,0,0,0,0.003,1.5,0.141111,0.317679,0,0.523805,0,0,0,0,32.2434,16121.7,1516.633498,3414.347204,0,5629.754436,79.09371,71,72,0.003662,17.032368,1.423205,66.448897,66.448897,0,0,0,1601.090306,-297.611473,69.665126,0.001502,9.632364,407.943381,2.704618,0.864378,64.696598,121.068686,0,0,0,0,0,1337.014289,144.247556,56.6,39.849742,11.66,61.095585,0.001552,119.142399,16.038904,3.883068,2.708333,195.833333,0.97508,0.074736,21.51452,91.793623,36.207977,64.696598
12874.32921,1.197857,12874.32921,0,0,0,0,0.003,0,0.186709,0.415693,0.025,0.567456,0,0,0,0,32.2434,0,2006.709993,4467.78018,268.695,6098.900639,76.2469,71,95,0.003635,18.583781,0.437909,114.808512,14.808513,99.999999,0,0,0,-446.719546,61.93906,0.001527,12.845873,289.604911,4.128566,1.337244,64.696598,124.63672,0,0,0,0,0,2063.046035,190.621111,52.4,38.063126,14.075,61.095585,0.001733,0,0,0,0.833333,200,0.97508,0.075327,18.131598,89.231326,0,64.696598
13873.5057,1.290823,13873.5057,0,0,0,0,0.11806,0,0.233572,0.355823,0.005,0.578368,0,0,0,0,1268.88119,0,2510.385217,3824.313101,53.739,6216.18719,74.866517,71,95,0.003623,19.383729,0,57.019749,57.019749,0,0,0,0,183.34556,54.291241,0.001576,17.421724,203.662152,1.848835,0.607855,64.696598,124.825565,266.213557,0,0,0,0,927.266705,226.707808,49.115,36.581563,15.8,61.095585,0.001856,0,0,0,0,200,0.97508,0.075798,15.564764,87.329415,0,64.696598
