MF PT 1 Elec IAQ Range + EE - Source Energy|Total (*),MF PT 1 Elec IAQ Range + EE - Site Energy|Total (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Total (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Cooling (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Heating Fan/Pump (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Lights (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Lg. Appl. (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Vent Fan (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Misc. (E),MF PT 1 Elec IAQ Range + EE - Site Energy|Total (G),MF PT 1 Elec IAQ Range + EE - Source Energy|Total (G),MF PT 1 Elec IAQ Range + EE - Site Energy|Heating (G),MF PT 1 Elec IAQ Range + EE - Site Energy|Hot Water (G),MF PT 1 Elec IAQ Range + EE - Source Energy|Cooling (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Heating Fan/Pump (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Lights (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Lg. Appl. (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Vent Fan (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Misc. (E),MF PT 1 Elec IAQ Range + EE - Source Energy|Heating (G),MF PT 1 Elec IAQ Range + EE - Source Energy|Hot Water (G),MF PT 1 Elec IAQ Range + EE - Living Space|Indoor Temperature,MF PT 1 Elec IAQ Range + EE - Living Space|Heating Setpoint,MF PT 1 Elec IAQ Range + EE - Living Space|Cooling Setpoint,MF PT 1 Elec IAQ Range + EE - Living Space|Indoor Humidity,MF PT 1 Elec IAQ Range + EE - Living Space|Indoor Relative Humidity,MF PT 1 Elec IAQ Range + EE - Living Space|Wind Speed (at Building),MF PT 1 Elec IAQ Range + EE - Living Space|Infiltration + Mech. Vent.,MF PT 1 Elec IAQ Range + EE - Living Space|Infiltration,MF PT 1 Elec IAQ Range + EE - Living Space|Mech. Vent. (rated),MF PT 1 Elec IAQ Range + EE - Living Space|Natural Ventilation,MF PT 1 Elec IAQ Range + EE - Living Space|System Flow Rate to Zone,MF PT 1 Elec IAQ Range + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 1 Elec IAQ Range + EE - Living Space|Latent Gains/Losses,MF PT 1 Elec IAQ Range + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 1 Elec IAQ Range + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 1 Elec IAQ Range + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 1 Elec IAQ Range + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 1 Elec IAQ Range + EE - Delivered Energy|Heating Delivered (main),MF PT 1 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 1 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (latent),MF PT 1 Elec IAQ Range + EE - Delivered Energy|DHW Delivered Energy,MF PT 1 Elec IAQ Range + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 1 Elec IAQ Range + EE - HVAC System|Total Supply Air Flow Rate,MF PT 1 Elec IAQ Range + EE - HVAC System|Supply Air Temperature,MF PT 1 Elec IAQ Range + EE - Weather|Outdoor Drybulb,MF PT 1 Elec IAQ Range + EE - Weather|Outdoor Wetbulb,MF PT 1 Elec IAQ Range + EE - Weather|Outdoor Dew Point,MF PT 1 Elec IAQ Range + EE - Weather|Ground Temperature,MF PT 1 Elec IAQ Range + EE - Weather|Outdoor Humidity Ratio,MF PT 1 Elec IAQ Range + EE - Weather|Direct Normal Solar,MF PT 1 Elec IAQ Range + EE - Weather|Total Horizontal Solar,MF PT 1 Elec IAQ Range + EE - Weather|Diffuse Horizontal Solar,MF PT 1 Elec IAQ Range + EE - Weather|Wind Speed (at Weather Station),MF PT 1 Elec IAQ Range + EE - Weather|Wind Direction,MF PT 1 Elec IAQ Range + EE - Weather|Atmospheric Pressure,MF PT 1 Elec IAQ Range + EE - Weather|Outdoor Air Density,MF PT 1 Elec IAQ Range + EE - Weather|Sky Temperature,MF PT 1 Elec IAQ Range + EE - Weather|Sky Radiation Losses,MF PT 1 Elec IAQ Range + EE - Weather|Total Vertical Solar,MF PT 1 Elec IAQ Range + EE - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
8472.331246,0.274944,2955.044711,0,0.001306,0.020502,0.053886,0,0.19925,5061.730766,5517.286535,5061.730766,0,0,14.036252,220.351421,579.160312,0,2141.496727,5517.286535,0,71.100945,71,95,0.003291,19.99837,1.580852,45.181722,45.181722,0,0,62.776064,0,6.232426,0,0,64.696598,125.394385,3277.004285,0,0,0,17.014886,62.776064,123.294364,46.7,34.956269,14.03,61.095585,0.001742,0,0,0,3.008333,95,0.97508,0.076174,12.770881,85.295427,0,64.696598
7818.936696,0.254453,2734.809583,0,0.001501,0.012301,0.052787,0,0.187864,4664.336801,5084.127113,4103.879698,560.457103,0,16.130366,132.210853,567.342879,0,2019.125485,4473.228871,610.898242,71.080736,71,95,0.003273,19.901406,2.461049,58.951466,58.951466,0,0,50.894686,0,-164.730899,0,0,64.696598,125.394385,2462.327819,0,0,0,8.521098,50.894686,123.252328,48.365,35.204005,11.105,61.095585,0.00147,0,0,0,4.683333,176.666667,0.97508,0.075957,13.54388,85.850151,0,64.696598
11024.41381,0.23998,2579.262171,0,0.002166,0.008201,0.047442,0,0.182171,7747.845537,8445.151635,7204.675828,543.169708,0,23.283292,88.140568,509.898446,0,1957.939865,7853.096653,592.054982,71.135645,71,95,0.003251,19.730773,2.355951,57.143288,57.143288,0,0,89.339997,0,-126.140345,0,0,64.696598,125.394385,4322.805497,0,0,0,2.130275,89.339997,123.214696,47.21,34.750583,12.11,61.095585,0.001547,0,0,0,4.483333,340,0.97508,0.07612,12.924283,85.401089,0,64.696598
9002.358771,0.233098,2505.285556,0,0.002076,0.008201,0.046343,0,0.176478,5960.617628,6497.073215,5949.414771,11.202857,0,22.309731,88.140568,498.081013,0,1896.754244,6484.8621,12.211115,71.110781,71,95,0.003235,19.649981,2.281506,56.112851,56.112851,0,0,73.76636,0,-85.069395,0,0,64.696598,125.394385,3569.648862,0,0,0,2.130275,73.76636,123.167254,46.025,34.346703,13.19,61.095585,0.001652,0,0,0,4.341667,340,0.97508,0.076286,12.22795,84.899195,0,64.696598
12581.37122,0.243285,2614.773286,0,0.002508,0.009117,0.049488,0,0.182171,9143.667826,9966.59793,8051.023472,1092.644354,0,26.950363,97.992477,531.890581,0,1957.939865,8775.615584,1190.982346,71.145076,71,95,0.003224,19.565213,2.198304,55.044755,55.044755,0,0,99.814063,0,-48.915872,0,0,64.696598,125.394385,4830.614083,0,0,0,8.521098,99.814063,123.122173,44.765,33.826137,14.27,61.095585,0.001729,0,0,0,4.183333,340,0.97508,0.076467,11.344508,84.265225,0,64.696598
10785.24153,0.270489,2907.158148,0,0.002459,0.025017,0.055149,0,0.187864,7227.599436,7878.083385,7227.599436,0,0,26.426219,268.879862,592.726581,0,2019.125485,7878.083385,0,71.129109,71,95,0.00322,19.54824,2.093205,54.04807,54.04807,0,0,89.596875,0,-1.128228,0,0,64.696598,125.394385,4336.559662,0,0,0,59.565755,89.596875,123.071969,42.77,33.006316,15.77,61.095585,0.001856,0,0,0,3.983333,340,0.97508,0.076755,9.671266,83.076531,0,64.696598
16724.50531,0.362028,3890.999248,0,0.003,0.058733,0.077159,0.0125,0.210635,11773.85877,12833.50606,9441.241291,2332.617481,0,32.240638,631.255693,829.287449,134.3475,2263.867969,10290.95301,2542.553055,71.16149,71,95,0.003214,19.493075,1.988107,72.594245,22.594246,50,0,117.027582,0,-53.04638,1.390698,0.460331,64.696598,125.335367,5664.744774,0,0,698.6629,204.205938,117.027582,123.022105,41.825,32.662414,16.73,61.095585,0.001934,0,0,0,3.783333,340,0.97508,0.07689,9.001989,82.601053,0,64.696598
12458.80344,0.421887,4534.360692,0,0.002548,0.074326,0.103414,0.0025,0.2391,7270.130965,7924.442752,7270.130965,0,0,27.381996,798.837806,1111.475318,26.8695,2569.796072,7924.442752,0,71.125093,71,95,0.003216,19.529275,1.63778,46.678087,46.678087,0,0,90.107584,163.475595,75.983202,0,0,64.696598,124.81924,4362.078579,0,0,0,216.960274,90.107584,122.972222,42.215,32.877447,16.775,61.095585,0.00193,164.594551,26.899158,8.532184,3.116667,340,0.97508,0.076831,9.450982,82.918038,59.745037,64.696598
12512.25396,0.436055,4686.627828,0,0.002101,0.078987,0.110174,0,0.244793,7179.473512,7825.626128,6075.647339,1103.826173,0,22.577158,848.940226,1184.128751,0,2630.981693,6622.4556,1203.170528,71.105602,71,95,0.00322,19.563124,0.713792,35.165925,35.165925,0,0,75.298672,535.781906,-25.666529,0.033584,0.010964,64.696598,124.765727,3645.388404,0,0,16.814349,208.439175,75.298672,122.932235,45.8,34.568272,14.81,61.095585,0.00179,250.576779,84.351012,15.426612,1.358333,252.5,0.97508,0.076304,12.213502,84.899195,100.58787,64.696598
