MF PT 3 Elec IAQ Range + EE - Source Energy|Total (*),MF PT 3 Elec IAQ Range + EE - Site Energy|Total (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Total (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Cooling (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Heating Fan/Pump (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Lights (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Lg. Appl. (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Vent Fan (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Misc. (E),MF PT 3 Elec IAQ Range + EE - Site Energy|Total (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Total (G),MF PT 3 Elec IAQ Range + EE - Site Energy|Heating (G),MF PT 3 Elec IAQ Range + EE - Site Energy|Hot Water (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Cooling (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Heating Fan/Pump (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Lights (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Lg. Appl. (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Vent Fan (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Misc. (E),MF PT 3 Elec IAQ Range + EE - Source Energy|Heating (G),MF PT 3 Elec IAQ Range + EE - Source Energy|Hot Water (G),MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Temperature,MF PT 3 Elec IAQ Range + EE - Living Space|Heating Setpoint,MF PT 3 Elec IAQ Range + EE - Living Space|Cooling Setpoint,MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Humidity,MF PT 3 Elec IAQ Range + EE - Living Space|Indoor Relative Humidity,MF PT 3 Elec IAQ Range + EE - Living Space|Wind Speed (at Building),MF PT 3 Elec IAQ Range + EE - Living Space|Infiltration + Mech. Vent.,MF PT 3 Elec IAQ Range + EE - Living Space|Infiltration,MF PT 3 Elec IAQ Range + EE - Living Space|Mech. Vent. (rated),MF PT 3 Elec IAQ Range + EE - Living Space|Natural Ventilation,MF PT 3 Elec IAQ Range + EE - Living Space|System Flow Rate to Zone,MF PT 3 Elec IAQ Range + EE - Living Space|Zone Glazing Transmitted Solar,MF PT 3 Elec IAQ Range + EE - Living Space|Latent Gains/Losses,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Hot Water Use Flow Rate,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Cold Water Use Flow Rate,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Water Heater Inlet Temperature,MF PT 3 Elec IAQ Range + EE - Domestic Water System|Delivered Hot Water Temperature,MF PT 3 Elec IAQ Range + EE - Delivered Energy|Heating Delivered (main),MF PT 3 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (sensible),MF PT 3 Elec IAQ Range + EE - Delivered Energy|Cooling Delivered (latent),MF PT 3 Elec IAQ Range + EE - Delivered Energy|DHW Delivered Energy,MF PT 3 Elec IAQ Range + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 3 Elec IAQ Range + EE - HVAC System|Total Supply Air Flow Rate,MF PT 3 Elec IAQ Range + EE - HVAC System|Supply Air Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Drybulb,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Wetbulb,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Dew Point,MF PT 3 Elec IAQ Range + EE - Weather|Ground Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Humidity Ratio,MF PT 3 Elec IAQ Range + EE - Weather|Direct Normal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Total Horizontal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Diffuse Horizontal Solar,MF PT 3 Elec IAQ Range + EE - Weather|Wind Speed (at Weather Station),MF PT 3 Elec IAQ Range + EE - Weather|Wind Direction,MF PT 3 Elec IAQ Range + EE - Weather|Atmospheric Pressure,MF PT 3 Elec IAQ Range + EE - Weather|Outdoor Air Density,MF PT 3 Elec IAQ Range + EE - Weather|Sky Temperature,MF PT 3 Elec IAQ Range + EE - Weather|Sky Radiation Losses,MF PT 3 Elec IAQ Range + EE - Weather|Total Vertical Solar,MF PT 3 Elec IAQ Range + EE - Weather|Mains Water Temperature
10355.04985,0.500188,5375.925054,0,0,0.081193,0.113004,0,0.305991,4568.004399,4979.124795,0,4568.004399,0,0,872.651186,1214.546751,0,3288.727116,0,4979.124795,67.853954,64,95,0.003315,22.529312,0.670001,25.735207,25.735207,0,0,0,1907.357682,69.237471,7.078964,2.34598,64.696598,124.987958,0,0,0,3557.403772,182.930503,0,73.085389,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.306364,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.733383,64.696598
15305.10195,0.488391,5249.126835,0,0,0.078986,0.103414,0,0.305991,9225.665245,10055.97512,0,9225.665245,0,0,848.924401,1111.475318,0,3288.727116,0,10055.97512,72.596741,64,95,0.003339,19.380154,1.121047,29.121891,29.121891,0,0,0,2739.380136,1780.271598,34.185664,2.480248,64.696598,122.662795,0,0,0,12940.21715,165.915617,0,73.085389,56.075,39.532815,11.675,61.095585,0.001533,318.279529,181.007128,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.14486,64.696598
16219.61203,0.503769,5414.408045,0,0,0.075927,0.114735,0,0.313107,9913.031175,10805.20398,0,9913.031175,0,0,816.051584,1233.147319,0,3365.209142,0,10805.20398,77.612205,64,95,0.003519,17.189818,0.503595,29.892699,29.892699,0,0,0,3379.878442,-103.834373,1.820526,0.394415,64.696598,119.502937,0,0,0,836.019767,131.885846,0,73.085389,57.515,39.998786,9.725,61.095585,0.001411,327.181529,201.198291,20.260636,0.958333,180,0.97508,0.07462,21.875969,92.057777,128.264727,64.696598
6968.261829,0.520782,5597.261153,0,0,0.07372,0.126839,0,0.320223,1257.798785,1371.000676,0,1257.798785,0,0,792.324799,1363.245186,0,3441.691168,0,1371.000676,79.332388,64,95,0.0035,16.15952,0.33719,29.180223,29.180223,0,0,0,3762.56785,-98.055288,1.635383,0.528641,64.696598,124.946775,0,0,0,816.801364,114.870961,0,73.085389,58.475,40.26203,8.6,61.095585,0.001311,325.649434,198.779107,20.23422,0.641667,180,0.97508,0.074494,22.426695,92.480424,116.065179,64.696598
5422.980197,0.504567,5422.980197,0,0,0.07307,0.111274,0,0.320223,0,0,0,0,0,0,785.342845,1195.946184,0,3441.691168,0,0,81.14368,64,95,0.003475,15.119363,1.620264,42.709821,42.709821,0,0,0,3832.607135,-262.157327,0,0,64.696598,125.233649,0,0,0,0,102.089313,0,73.085389,59.42,40.896068,9.02,61.095585,0.001375,313.102104,173.857566,19.732327,3.083333,180,0.97508,0.07435,23.422608,93.246472,105.293536,64.696598
8002.928102,0.513899,5523.288423,0,0,0.073953,0.126839,0,0.313107,2274.898788,2479.639679,0,2274.898788,0,0,794.834095,1363.245186,0,3365.209142,0,2479.639679,81.129109,64,95,0.003426,14.913237,2.303402,54.603556,54.603556,0,0,0,3516.116569,-306.372004,1.992028,0.66251,64.696598,125.267794,0,0,0,1001.94349,102.089313,0,73.085389,59.93,41.320406,10.16,61.095585,0.001446,284.837593,128.791473,17.936078,4.383333,185.833333,0.97508,0.074269,24.24165,93.880442,109.745751,64.696598
12088.76065,0.514407,5528.74523,0,0,0.079724,0.107344,0,0.327339,6018.362769,6560.015418,0,6018.362769,0,0,856.861285,1153.710751,0,3518.173194,0,6560.015418,81.301977,64,72,0.00339,14.67337,2.075689,49.906503,49.906503,0,0,0,2772.855043,-157.619446,8.307302,2.752108,64.696598,125.177142,0,0,0,4174.325625,89.334977,0,73.085389,59.765,41.364647,11.285,61.095585,0.001502,233.987888,71.090526,13.498285,3.95,190,0.97508,0.074286,24.344116,93.959688,98.186459,64.696598
6624.131304,0.616324,6624.131304,0,0,0.096187,0.178566,0,0.341571,0,0,0,0,0,0,1033.799,1919.195057,0,3671.137246,0,0,80.109944,64,72,0.003371,15.17032,1.423205,40.428739,40.428739,0,0,0,1246.676578,-101.177589,0,0,64.696598,124.88181,0,0,0,0,119.104199,0,73.085389,56.6,39.849742,11.66,61.095585,0.001552,119.142399,16.055109,3.883068,2.708333,195.833333,0.97508,0.074736,21.51452,91.793623,43.999469,64.696598
9664.24571,0.787343,8462.202195,0,0,0.127268,0.265039,0.025,0.370035,1102.792215,1202.043514,0,1102.792215,0,0,1367.855047,2848.586798,268.695,3977.06535,0,1202.043514,75.813106,64,95,0.003342,17.341555,0.437909,105.339296,5.339297,99.999999,0,0,0,-401.017061,0,0,64.696598,124.88181,0,0,0,0,157.394519,0,73.085389,52.4,38.063126,14.075,61.095585,0.001733,0,0,0,0.833333,200,0.97508,0.075327,18.131598,89.231326,0,64.696598
8188.791574,0.761904,8188.791574,0,0,0.159212,0.22054,0.005,0.377151,0,0,0,0,0,0,1711.18054,2370.324658,53.739,4053.547376,0,0,74.60122,64,95,0.003339,18.032898,0,33.469755,33.469755,0,0,0,0,253.446689,0,0,64.696598,124.88181,0,0,0,0,187.191052,0,73.085389,49.115,36.581563,15.8,61.095585,0.001856,0,0,0,0,200,0.97508,0.075798,15.564764,87.329415,0,64.696598
