SF PT 3 Elec All Elec + EE - Source Energy|Total (*),SF PT 3 Elec All Elec + EE - Site Energy|Total (E),SF PT 3 Elec All Elec + EE - Source Energy|Total (E),SF PT 3 Elec All Elec + EE - Site Energy|Cooling (E),SF PT 3 Elec All Elec + EE - Site Energy|Heating (E),SF PT 3 Elec All Elec + EE - Site Energy|Cooling Fan/Pump (E),SF PT 3 Elec All Elec + EE - Site Energy|Heating Fan/Pump (E),SF PT 3 Elec All Elec + EE - Site Energy|Hot Water (E),SF PT 3 Elec All Elec + EE - Site Energy|Hot Water - Suppl. (E),SF PT 3 Elec All Elec + EE - Site Energy|Lights (E),SF PT 3 Elec All Elec + EE - Site Energy|Lg. Appl. (E),SF PT 3 Elec All Elec + EE - Site Energy|Vent Fan (E),SF PT 3 Elec All Elec + EE - Site Energy|Misc. (E),SF PT 3 Elec All Elec + EE - Source Energy|Cooling (E),SF PT 3 Elec All Elec + EE - Source Energy|Heating (E),SF PT 3 Elec All Elec + EE - Source Energy|Cooling Fan/Pump (E),SF PT 3 Elec All Elec + EE - Source Energy|Heating Fan/Pump (E),SF PT 3 Elec All Elec + EE - Source Energy|Hot Water (E),SF PT 3 Elec All Elec + EE - Source Energy|Hot Water - Suppl. (E),SF PT 3 Elec All Elec + EE - Source Energy|Lights (E),SF PT 3 Elec All Elec + EE - Source Energy|Lg. Appl. (E),SF PT 3 Elec All Elec + EE - Source Energy|Vent Fan (E),SF PT 3 Elec All Elec + EE - Source Energy|Misc. (E),SF PT 3 Elec All Elec + EE - Living Space|Indoor Temperature,SF PT 3 Elec All Elec + EE - Living Space|Heating Setpoint,SF PT 3 Elec All Elec + EE - Living Space|Cooling Setpoint,SF PT 3 Elec All Elec + EE - Living Space|Indoor Humidity,SF PT 3 Elec All Elec + EE - Living Space|Indoor Relative Humidity,SF PT 3 Elec All Elec + EE - Living Space|Wind Speed (at Building),SF PT 3 Elec All Elec + EE - Living Space|Infiltration + Mech. Vent.,SF PT 3 Elec All Elec + EE - Living Space|Infiltration,SF PT 3 Elec All Elec + EE - Living Space|Mech. Vent. (rated),SF PT 3 Elec All Elec + EE - Living Space|Natural Ventilation,SF PT 3 Elec All Elec + EE - Living Space|System Flow Rate to Zone,SF PT 3 Elec All Elec + EE - Living Space|Zone Glazing Transmitted Solar,SF PT 3 Elec All Elec + EE - Living Space|Latent Gains/Losses,SF PT 3 Elec All Elec + EE - Domestic Water System|Hot Water Use Flow Rate,SF PT 3 Elec All Elec + EE - Domestic Water System|Cold Water Use Flow Rate,SF PT 3 Elec All Elec + EE - Domestic Water System|Water Heater Inlet Temperature,SF PT 3 Elec All Elec + EE - Domestic Water System|Delivered Hot Water Temperature,SF PT 3 Elec All Elec + EE - Domestic Water System|HPWH Sensible Heat Removed (inc. fan heat),SF PT 3 Elec All Elec + EE - Domestic Water System|HPWH Latent Heat Removed,SF PT 3 Elec All Elec + EE - Delivered Energy|Heating Delivered (main),SF PT 3 Elec All Elec + EE - Delivered Energy|Cooling Delivered (sensible),SF PT 3 Elec All Elec + EE - Delivered Energy|Cooling Delivered (latent),SF PT 3 Elec All Elec + EE - Delivered Energy|DHW Delivered Energy,SF PT 3 Elec All Elec + EE - Delivered Energy|DHW Pipe Heat Losses - Unit,SF PT 3 Elec All Elec + EE - Weather|Outdoor Drybulb,SF PT 3 Elec All Elec + EE - Weather|Outdoor Wetbulb,SF PT 3 Elec All Elec + EE - Weather|Outdoor Dew Point,SF PT 3 Elec All Elec + EE - Weather|Ground Temperature,SF PT 3 Elec All Elec + EE - Weather|Outdoor Humidity Ratio,SF PT 3 Elec All Elec + EE - Weather|Direct Normal Solar,SF PT 3 Elec All Elec + EE - Weather|Total Horizontal Solar,SF PT 3 Elec All Elec + EE - Weather|Diffuse Horizontal Solar,SF PT 3 Elec All Elec + EE - Weather|Wind Speed (at Weather Station),SF PT 3 Elec All Elec + EE - Weather|Wind Direction,SF PT 3 Elec All Elec + EE - Weather|Atmospheric Pressure,SF PT 3 Elec All Elec + EE - Weather|Outdoor Air Density,SF PT 3 Elec All Elec + EE - Weather|Sky Temperature,SF PT 3 Elec All Elec + EE - Weather|Sky Radiation Losses,SF PT 3 Elec All Elec + EE - Weather|Total Vertical Solar,SF PT 3 Elec All Elec + EE - Weather|Mains Water Temperature
6215.210982,0.578278,6215.210982,0,0,0,0,0.078089,0,0.081193,0.113004,0,0.305991,0,0,0,0,839.285928,0,872.651186,1214.546751,0,3288.727116,67.647597,64,95,0.003554,24.314844,0.670001,24.091044,24.091044,0,0,0,1907.357682,54.758615,7.156225,2.268719,64.696598,124.476024,468.606071,0,0,0,0,3557.403772,182.930503,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.306364,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.733383,64.696598
6456.574513,0.600735,6456.574513,0,0,0,0,0.112344,0,0.078986,0.103414,0,0.305991,0,0,0,0,1207.447678,0,848.924401,1111.475318,0,3288.727116,71.303918,64,95,0.003578,21.731799,1.121047,26.33035,26.33035,0,0,0,2739.380136,1774.104368,29.266873,7.39904,64.696598,123.834773,237.168644,0,0,0,0,13839.38729,165.915617,56.075,39.532815,11.675,61.095585,0.001533,318.279529,181.007128,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.14486,64.696598
38361.78895,3.569269,38361.78895,0,0,0,0,0.003,3.0625,0.075927,0.114735,0,0.313107,0,0,0,0,32.2434,32915.1375,816.051584,1233.147319,0,3365.209142,76.034439,64,95,0.003674,18.919464,0.503595,26.873826,26.873826,0,0,0,3379.878442,-93.146293,2.204215,0.010726,64.696598,107.350634,0,0,0,0,0,796.987868,131.885846,57.515,39.998786,9.725,61.095585,0.001411,327.181529,201.198291,20.260636,0.958333,180,0.97508,0.07462,21.875969,92.057777,128.264727,64.696598
31343.61605,2.916282,31343.61605,0,0,0,0,0.003,2.3925,0.07372,0.126839,0,0.320223,0,0,0,0,32.2434,25714.1115,792.324799,1363.245186,0,3441.691168,78.876713,64,95,0.003662,17.156944,0.33719,27.152207,27.152207,0,0,0,3762.56785,-97.789084,1.807189,0.356835,64.696598,119.081849,0,0,0,0,0,816.801364,114.870961,58.475,40.26203,8.6,61.095585,0.001311,325.649434,198.779107,20.23422,0.641667,180,0.97508,0.074494,22.426695,92.480424,116.065179,64.696598
5455.223597,0.507567,5455.223597,0,0,0,0,0.003,0,0.07307,0.111274,0,0.320223,0,0,0,0,32.2434,0,785.342845,1195.946184,0,3441.691168,80.859446,64,95,0.003635,15.959676,1.620264,39.75333,39.75333,0,0,0,3832.607135,-263.082315,0,0,64.696598,122.467735,0,0,0,0,0,0,102.089313,59.42,40.896068,9.02,61.095585,0.001375,313.102104,173.857566,19.732327,3.083333,180,0.97508,0.07435,23.422608,93.246472,105.293536,64.696598
5555.531823,0.516899,5555.531823,0,0,0,0,0.003,0,0.073953,0.126839,0,0.313107,0,0,0,0,32.2434,0,794.834095,1363.245186,0,3365.209142,80.922357,64,95,0.003586,15.710891,2.303402,50.761225,50.761225,0,0,0,3516.116569,-308.847352,1.939567,0.714971,64.696598,124.781973,0,0,0,0,0,1001.94349,102.089313,59.93,41.320406,10.16,61.095585,0.001446,284.837593,128.791473,17.936078,4.383333,185.833333,0.97508,0.074269,24.24165,93.880442,109.745751,64.696598
5560.98863,0.517407,5560.98863,0,0,0,0,0.003,0,0.079724,0.107344,0,0.327339,0,0,0,0,32.2434,0,856.861285,1153.710751,0,3518.173194,81.115686,64,72,0.003549,15.45306,2.075689,46.456839,46.456839,0,0,0,2772.855043,-161.945539,7.99202,3.06739,64.696598,127.450883,0,0,0,0,0,4174.325625,89.334977,59.765,41.364647,11.285,61.095585,0.001502,233.987888,71.090526,13.498285,3.95,190,0.97508,0.074286,24.344116,93.959688,98.186459,64.696598
6656.374704,0.619324,6656.374704,0,0,0,0,0.003,0,0.096187,0.178566,0,0.341571,0,0,0,0,32.2434,0,1033.799,1919.195057,0,3671.137246,79.893,64,72,0.003529,15.993475,1.423205,37.788051,37.788051,0,0,0,1246.676578,-106.988781,0,0,64.696598,127.251974,0,0,0,0,0,0,119.104199,56.6,39.849742,11.66,61.095585,0.001552,119.142399,16.055109,3.883068,2.708333,195.833333,0.97508,0.074736,21.51452,91.793623,43.999469,64.696598
8494.445595,0.790343,8494.445595,0,0,0,0,0.003,0,0.127268,0.265039,0.025,0.370035,0,0,0,0,32.2434,0,1367.855047,2848.586798,268.695,3977.06535,75.575064,64,95,0.003496,18.282188,0.437909,104.723424,4.723425,99.999999,0,0,0,-475.327343,0,0,64.696598,127.251974,0,0,0,0,0,0,157.394519,52.4,38.063126,14.075,61.095585,0.001733,0,0,0,0.833333,200,0.97508,0.075327,18.131598,89.231326,0,64.696598
8221.034974,0.764904,8221.034974,0,0,0,0,0.003,0,0.159212,0.22054,0.005,0.377151,0,0,0,0,32.2434,0,1711.18054,2370.324658,53.739,4053.547376,74.365072,64,95,0.003488,18.983651,0,31.453041,31.453041,0,0,0,0,245.065956,0,0,64.696598,127.251974,0,0,0,0,0,0,187.191052,49.115,36.581563,15.8,61.095585,0.001856,0,0,0,0,200,0.97508,0.075798,15.564764,87.329415,0,64.696598
