MF PT 1 Baseline - Source Energy|Total (*),MF PT 1 Baseline - Site Energy|Total (E),MF PT 1 Baseline - Source Energy|Total (E),MF PT 1 Baseline - Site Energy|Cooling (E),MF PT 1 Baseline - Site Energy|Heating Fan/Pump (E),MF PT 1 Baseline - Site Energy|Lights (E),MF PT 1 Baseline - Site Energy|Lg. Appl. (E),MF PT 1 Baseline - Site Energy|Vent Fan (E),MF PT 1 Baseline - Site Energy|Misc. (E),MF PT 1 Baseline - Site Energy|Total (G),MF PT 1 Baseline - Source Energy|Total (G),MF PT 1 Baseline - Site Energy|Heating (G),MF PT 1 Baseline - Site Energy|Hot Water (G),MF PT 1 Baseline - Site Energy|Lg. Appl. (G),MF PT 1 Baseline - Source Energy|Cooling (E),MF PT 1 Baseline - Source Energy|Heating Fan/Pump (E),MF PT 1 Baseline - Source Energy|Lights (E),MF PT 1 Baseline - Source Energy|Lg. Appl. (E),MF PT 1 Baseline - Source Energy|Vent Fan (E),MF PT 1 Baseline - Source Energy|Misc. (E),MF PT 1 Baseline - Source Energy|Heating (G),MF PT 1 Baseline - Source Energy|Hot Water (G),MF PT 1 Baseline - Source Energy|Lg. Appl. (G),MF PT 1 Baseline - Living Space|Indoor Temperature,MF PT 1 Baseline - Living Space|Heating Setpoint,MF PT 1 Baseline - Living Space|Cooling Setpoint,MF PT 1 Baseline - Living Space|Indoor Humidity,MF PT 1 Baseline - Living Space|Indoor Relative Humidity,MF PT 1 Baseline - Living Space|Wind Speed (at Building),MF PT 1 Baseline - Living Space|Infiltration + Mech. Vent.,MF PT 1 Baseline - Living Space|Infiltration,MF PT 1 Baseline - Living Space|Mech. Vent. (rated),MF PT 1 Baseline - Living Space|Natural Ventilation,MF PT 1 Baseline - Living Space|System Flow Rate to Zone,MF PT 1 Baseline - Living Space|Zone Glazing Transmitted Solar,MF PT 1 Baseline - Living Space|Latent Gains/Losses,MF PT 1 Baseline - Domestic Water System|Hot Water Use Flow Rate,MF PT 1 Baseline - Domestic Water System|Cold Water Use Flow Rate,MF PT 1 Baseline - Domestic Water System|Water Heater Inlet Temperature,MF PT 1 Baseline - Domestic Water System|Delivered Hot Water Temperature,MF PT 1 Baseline - Delivered Energy|Heating Delivered (main),MF PT 1 Baseline - Delivered Energy|Cooling Delivered (sensible),MF PT 1 Baseline - Delivered Energy|Cooling Delivered (latent),MF PT 1 Baseline - Delivered Energy|DHW Delivered Energy,MF PT 1 Baseline - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 1 Baseline - HVAC System|Total Supply Air Flow Rate,MF PT 1 Baseline - HVAC System|Supply Air Temperature,MF PT 1 Baseline - Weather|Outdoor Drybulb,MF PT 1 Baseline - Weather|Outdoor Wetbulb,MF PT 1 Baseline - Weather|Outdoor Dew Point,MF PT 1 Baseline - Weather|Ground Temperature,MF PT 1 Baseline - Weather|Outdoor Humidity Ratio,MF PT 1 Baseline - Weather|Direct Normal Solar,MF PT 1 Baseline - Weather|Total Horizontal Solar,MF PT 1 Baseline - Weather|Diffuse Horizontal Solar,MF PT 1 Baseline - Weather|Wind Speed (at Weather Station),MF PT 1 Baseline - Weather|Wind Direction,MF PT 1 Baseline - Weather|Atmospheric Pressure,MF PT 1 Baseline - Weather|Outdoor Air Density,MF PT 1 Baseline - Weather|Sky Temperature,MF PT 1 Baseline - Weather|Sky Radiation Losses,MF PT 1 Baseline - Weather|Total Vertical Solar,MF PT 1 Baseline - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
11935.99789,0.383726,4124.208459,0,0.001166,0.081193,0.056573,0,0.244793,7166.779294,7811.789431,2680.094194,4076.801253,409.883847,0,12.535302,872.651186,608.040278,0,2630.981693,2921.302671,4443.713366,446.773394,71.038319,71,95,0.003304,20.116993,0.670001,29.339412,29.339412,0,0,33.18736,1064.580326,28.109136,5.271495,1.725167,64.696598,124.783941,1608.056516,0,0,2640.859159,235.827683,33.18736,122.356771,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.306364,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.733383,64.696598
13566.61052,0.377882,4061.404673,0,0.000067,0.078986,0.054037,0,0.244793,8720.372341,9505.205851,31.595662,8330.128312,358.648366,0,0.716425,848.924401,580.782153,0,2630.981693,34.439272,9079.83986,390.926719,72.585007,71,95,0.003317,19.218542,1.121047,29.632438,29.632438,0,0,0.391244,1602.198708,1245.052408,22.939925,3.363198,64.696598,123.436041,18.957397,0,0,9927.997809,213.892681,0.391244,79.932711,56.075,39.532815,11.675,61.095585,0.001533,318.279529,181.007128,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.14486,64.696598
11462.61342,0.382366,4109.58864,0,0,0.075927,0.055953,0,0.250485,6745.894293,7353.024779,0,6318.931952,426.962341,0,0,816.051584,601.369743,0,2692.167314,0,6887.635827,465.388952,76.501115,71,95,0.003433,17.398373,0.503595,28.746219,28.746219,0,0,0,2018.800314,-67.019049,1.31692,0.327354,64.696598,121.43189,0,0,0,620.624084,170.022676,0,71.448515,57.515,39.998786,9.725,61.095585,0.001411,327.181529,201.198291,20.260636,0.958333,180,0.97508,0.07462,21.875969,92.057777,128.264727,64.696598
5977.819577,0.389726,4188.696482,0,0,0.07372,0.059828,0,0.256178,1641.397334,1789.123094,0,1154.660266,486.737069,0,0,792.324799,643.018749,0,2753.352935,0,1258.57969,530.543405,78.649334,71,95,0.003419,16.143792,0.33719,28.498836,28.498836,0,0,0,2263.588377,-62.850747,1.217577,0.388899,64.696598,124.125313,0,0,0,606.357192,148.087673,0,71.448515,58.475,40.26203,8.6,61.095585,0.001311,325.649434,198.779107,20.23422,0.641667,180,0.97508,0.074494,22.426695,92.480424,116.065179,64.696598
4581.564429,0.386442,4153.406593,0,0,0.07307,0.057194,0,0.256178,392.805354,428.157836,0,0,392.805354,0,0,785.342845,614.710814,0,2753.352935,0,0,428.157836,80.769973,71,95,0.003401,14.982521,1.620264,42.384079,42.384079,0,0,0,2312.323432,-225.085141,0,0,64.696598,124.067339,0,0,0,0,131.610015,0,71.448515,59.42,40.896068,9.02,61.095585,0.001375,313.102104,173.857566,19.732327,3.083333,180,0.97508,0.07435,23.422608,93.246472,105.293536,64.696598
5881.3217,0.384267,4130.020158,0,0,0.073953,0.059828,0,0.250485,1606.698663,1751.301543,0,1119.961594,486.737069,0,0,794.834095,643.018749,0,2692.167314,0,1220.758138,530.543405,81.273961,71,95,0.003358,14.551595,2.303402,54.643993,54.643993,0,0,0,2123.494456,-273.776521,1.488536,0.482075,64.696598,124.274545,0,0,0,743.798515,131.610015,0,71.448515,59.93,41.320406,10.16,61.095585,0.001446,284.837593,128.791473,17.936078,4.383333,185.833333,0.97508,0.074269,24.24165,93.880442,109.745751,64.696598
10194.6934,0.397211,4269.146324,0,0,0.079724,0.055616,0,0.261871,5436.281724,5925.547079,0,5060.554864,375.72686,0,0,856.861285,597.746483,0,2814.538556,0,5516.004802,409.542277,81.642435,71,72,0.003324,14.231692,2.075689,50.079148,50.079148,0,0,0,1673.090619,-164.18124,6.169597,2.04042,64.696598,124.849816,0,0,0,3098.834646,115.167565,0,71.448515,59.765,41.364647,11.285,61.095585,0.001502,233.987888,71.090526,13.498285,3.95,190,0.97508,0.074286,24.344116,93.959688,98.186459,64.696598
5583.748785,0.439851,4727.433114,0,0,0.096187,0.070407,0,0.273257,785.610707,856.315671,0,0,785.610707,0,0,1033.799,756.724316,0,2936.909797,0,0,856.315671,80.749848,71,72,0.003308,14.580787,1.423205,40.839508,40.839508,0,0,0,751.898584,-50.782872,0,0,64.696598,125.340157,0,0,0,0,153.545017,0,71.448515,56.6,39.849742,11.66,61.095585,0.001552,119.142399,16.055109,3.883068,2.708333,195.833333,0.97508,0.074736,21.51452,91.793623,43.999469,64.696598
8369.263923,0.53699,5771.456396,0,0,0.127268,0.088693,0.025,0.296028,2383.309658,2597.807527,0,1102.422635,1280.887023,0,0,1367.855047,953.254069,268.695,3181.65228,0,1201.640673,1396.166855,76.91696,71,95,0.003287,16.444132,0.437909,105.628695,5.628695,99.999999,0,0,0,-304.652904,0,0,64.696598,125.340157,0,0,0,0,202.907575,0,71.448515,52.4,38.063126,14.075,61.095585,0.001733,0,0,0,0.833333,200,0.97508,0.075327,18.131598,89.231326,0,64.696598
6988.732717,0.548924,5899.72257,0,0,0.159212,0.08299,0.005,0.301721,999.091878,1089.010147,0,0,999.091878,0,0,1711.18054,891.965129,53.739,3242.837901,0,0,1089.010147,75.689088,71,95,0.003294,17.158099,0,34.450394,34.450394,0,0,0,0,307.50851,0,0,64.696598,125.340157,0,0,0,0,241.320236,0,71.448515,49.115,36.581563,15.8,61.095585,0.001856,0,0,0,0,200,0.97508,0.075798,15.564764,87.329415,0,64.696598
