MF PT 3 Baseline - Source Energy|Total (*),MF PT 3 Baseline - Site Energy|Total (E),MF PT 3 Baseline - Source Energy|Total (E),MF PT 3 Baseline - Site Energy|Cooling (E),MF PT 3 Baseline - Site Energy|Heating Fan/Pump (E),MF PT 3 Baseline - Site Energy|Lights (E),MF PT 3 Baseline - Site Energy|Lg. Appl. (E),MF PT 3 Baseline - Site Energy|Vent Fan (E),MF PT 3 Baseline - Site Energy|Misc. (E),MF PT 3 Baseline - Site Energy|Total (G),MF PT 3 Baseline - Source Energy|Total (G),MF PT 3 Baseline - Site Energy|Heating (G),MF PT 3 Baseline - Site Energy|Hot Water (G),MF PT 3 Baseline - Site Energy|Lg. Appl. (G),MF PT 3 Baseline - Source Energy|Cooling (E),MF PT 3 Baseline - Source Energy|Heating Fan/Pump (E),MF PT 3 Baseline - Source Energy|Lights (E),MF PT 3 Baseline - Source Energy|Lg. Appl. (E),MF PT 3 Baseline - Source Energy|Vent Fan (E),MF PT 3 Baseline - Source Energy|Misc. (E),MF PT 3 Baseline - Source Energy|Heating (G),MF PT 3 Baseline - Source Energy|Hot Water (G),MF PT 3 Baseline - Source Energy|Lg. Appl. (G),MF PT 3 Baseline - Living Space|Indoor Temperature,MF PT 3 Baseline - Living Space|Heating Setpoint,MF PT 3 Baseline - Living Space|Cooling Setpoint,MF PT 3 Baseline - Living Space|Indoor Humidity,MF PT 3 Baseline - Living Space|Indoor Relative Humidity,MF PT 3 Baseline - Living Space|Wind Speed (at Building),MF PT 3 Baseline - Living Space|Infiltration + Mech. Vent.,MF PT 3 Baseline - Living Space|Infiltration,MF PT 3 Baseline - Living Space|Mech. Vent. (rated),MF PT 3 Baseline - Living Space|Natural Ventilation,MF PT 3 Baseline - Living Space|System Flow Rate to Zone,MF PT 3 Baseline - Living Space|Zone Glazing Transmitted Solar,MF PT 3 Baseline - Living Space|Latent Gains/Losses,MF PT 3 Baseline - Domestic Water System|Hot Water Use Flow Rate,MF PT 3 Baseline - Domestic Water System|Cold Water Use Flow Rate,MF PT 3 Baseline - Domestic Water System|Water Heater Inlet Temperature,MF PT 3 Baseline - Domestic Water System|Delivered Hot Water Temperature,MF PT 3 Baseline - Delivered Energy|Heating Delivered (main),MF PT 3 Baseline - Delivered Energy|Cooling Delivered (sensible),MF PT 3 Baseline - Delivered Energy|Cooling Delivered (latent),MF PT 3 Baseline - Delivered Energy|DHW Delivered Energy,MF PT 3 Baseline - Delivered Energy|DHW Pipe Heat Losses - Unit,MF PT 3 Baseline - HVAC System|Total Supply Air Flow Rate,MF PT 3 Baseline - HVAC System|Supply Air Temperature,MF PT 3 Baseline - Weather|Outdoor Drybulb,MF PT 3 Baseline - Weather|Outdoor Wetbulb,MF PT 3 Baseline - Weather|Outdoor Dew Point,MF PT 3 Baseline - Weather|Ground Temperature,MF PT 3 Baseline - Weather|Outdoor Humidity Ratio,MF PT 3 Baseline - Weather|Direct Normal Solar,MF PT 3 Baseline - Weather|Total Horizontal Solar,MF PT 3 Baseline - Weather|Diffuse Horizontal Solar,MF PT 3 Baseline - Weather|Wind Speed (at Weather Station),MF PT 3 Baseline - Weather|Wind Direction,MF PT 3 Baseline - Weather|Atmospheric Pressure,MF PT 3 Baseline - Weather|Outdoor Air Density,MF PT 3 Baseline - Weather|Sky Temperature,MF PT 3 Baseline - Weather|Sky Radiation Losses,MF PT 3 Baseline - Weather|Total Vertical Solar,MF PT 3 Baseline - Weather|Mains Water Temperature
Btu,kWh,Btu,kWh,kWh,kWh,kWh,kWh,kWh,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,Btu,F,F,F,lb/lb,%,m/s,cfm,cfm,cfm,cfm,cfm,Btu,Btu,gph,gph,F,F,Btu,Btu,Btu,Btu,Btu,cfm,F,F,F,F,F,lb/lb,Btu/sqft,Btu/sqft,Btu/sqft,m/s,Deg,Atm,lbm/cuft,F,Btu/sqft,Btu/sqft,F
10660.8196,0.479373,5152.201809,0,0.005145,0.111663,0.056573,0,0.305991,5053.777786,5508.617787,0,4643.893939,409.883847,0,55.302618,1200.131797,608.040278,0,3288.727116,0,5061.844393,446.773394,66.511086,64,95,0.003419,24.342499,0.670001,24.388864,24.388864,0,0,0,1907.357682,92.263022,7.451731,2.460206,64.696598,125.150835,0,0,0,3741.217142,235.827683,0,71.438172,51.875,37.488035,12.725,61.095585,0.001614,295.984905,140.306364,18.649294,1.275,190,0.97508,0.075419,17.297521,88.623771,122.733383,64.696598
15625.17235,0.468655,5037.01031,0,0,0.108627,0.054037,0,0.305991,9713.91013,10588.16204,0,9355.261764,358.648366,0,0,1167.50104,580.782153,0,3288.727116,0,10197.23532,390.926719,72.620767,64,95,0.00344,19.978421,1.121047,28.886031,28.886031,0,0,0,2739.380136,1789.287985,34.912603,2.350154,64.696598,123.062164,0,0,0,13010.47591,213.892681,0,71.438171,56.075,39.532815,11.675,61.095585,0.001533,318.279529,181.007128,19.917235,2.133333,184.166667,0.97508,0.074814,21.074861,91.450222,131.14486,64.696598
16657.12056,0.47348,5088.870896,0,0,0.104421,0.055953,0,0.313107,10613.07308,11568.24966,0,10186.11074,426.962341,0,0,1122.292011,601.369743,0,3365.209142,0,11102.86071,465.388952,79.64644,64,95,0.003604,16.46645,0.503595,31.421951,31.421951,0,0,0,3379.878442,-107.475879,1.910078,0.41931,64.696598,119.40567,0,0,0,879.217453,170.022676,0,71.438171,57.515,39.998786,9.725,61.095585,0.001411,327.181529,201.198291,20.260636,0.958333,180,0.97508,0.07462,21.875969,92.057777,128.264727,64.696598
7084.689109,0.481435,5174.371171,0,0,0.101385,0.059828,0,0.320223,1752.585264,1910.317938,0,1265.848196,486.737069,0,0,1089.661254,643.018749,0,3441.691168,0,1379.774533,530.543405,83.33533,64,95,0.003576,14.498872,0.33719,32.569871,32.569871,0,0,0,3762.56785,-117.363489,1.718874,0.556967,64.696598,124.97904,0,0,0,859.006022,148.087673,0,71.438171,58.475,40.26203,8.6,61.095585,0.001311,325.649434,198.779107,20.23422,0.641667,180,0.97508,0.074494,22.426695,92.480424,116.065179,64.696598
5564.618992,0.477908,5136.461157,0,0,0.100491,0.057194,0,0.320223,392.805354,428.157836,0,0,392.805354,0,0,1080.059175,614.710814,0,3441.691168,0,0,428.157836,86.681057,64,95,0.003549,12.923452,1.620264,46.22107,46.22107,0,0,0,3832.607135,-291.371643,0,0,64.696598,125.267014,0,0,0,0,131.610015,0,71.438171,59.42,40.896068,9.02,61.095585,0.001375,313.102104,173.857566,19.732327,3.083333,180,0.97508,0.07435,23.422608,93.246472,105.293536,64.696598
8113.070248,0.47464,5101.340106,0,0,0.101706,0.059828,0,0.313107,2763.055176,3011.730141,0,2276.318107,486.737069,0,0,1093.112215,643.018749,0,3365.209142,0,2481.186736,530.543405,86.438953,64,95,0.003496,12.824986,2.303402,57.404762,57.404762,0,0,0,3516.116569,-323.940104,2.091095,0.700604,64.696598,125.363721,0,0,0,1053.714563,131.610015,0,71.438171,59.93,41.320406,10.16,61.095585,0.001446,284.837593,128.791473,17.936078,4.383333,185.833333,0.97508,0.074269,24.24165,93.880442,109.745751,64.696598
12394.99775,0.492597,5294.336083,0,0,0.109643,0.055616,0,0.327339,6514.368498,7100.661662,0,6138.641637,375.72686,0,0,1178.416405,597.746483,0,3518.173194,0,6691.119385,409.542277,85.672866,64,72,0.003457,12.995278,2.075689,52.442301,52.442301,0,0,0,2772.855043,-175.637879,8.73774,2.893117,64.696598,125.136586,0,0,0,4390.015749,115.167565,0,71.438171,59.765,41.364647,11.285,61.095585,0.001502,233.987888,71.090526,13.498285,3.95,190,0.97508,0.074286,24.344116,93.959688,98.186459,64.696598
6705.930934,0.544262,5849.615263,0,0,0.132283,0.070407,0,0.341571,785.610707,856.315671,0,0,785.610707,0,0,1421.7537,756.724316,0,3671.137246,0,0,856.315671,82.972079,64,72,0.003439,14.105772,1.423205,42.661532,42.661532,0,0,0,1246.676578,-88.646399,0,0,64.696598,124.965896,0,0,0,0,153.545017,0,71.438171,56.6,39.849742,11.66,61.095585,0.001552,119.142399,16.055109,3.883068,2.708333,195.833333,0.97508,0.074736,21.51452,91.793623,43.999469,64.696598
9678.069737,0.658757,7080.185685,0,0,0.175028,0.088693,0.025,0.370035,2383.379864,2597.884052,0,1102.492841,1280.887023,0,0,1881.171266,953.254069,268.695,3977.06535,0,1201.717197,1396.166855,76.823469,64,95,0.003412,17.138036,0.437909,105.702949,5.702949,99.999999,0,0,0,-364.966038,0,0,64.696598,124.965896,0,0,0,0,202.907575,0,71.438171,52.4,38.063126,14.075,61.095585,0.001733,0,0,0,0.833333,200,0.97508,0.075327,18.131598,89.231326,0,64.696598
8441.598484,0.684102,7352.588337,0,0,0.21896,0.08299,0.005,0.377151,999.091878,1089.010147,0,0,999.091878,0,0,2353.336832,891.965129,53.739,4053.547376,0,0,1089.010147,73.16386,64,95,0.003411,19.345529,0,32.59126,32.59126,0,0,0,0,307.323989,0,0,64.696598,124.965896,0,0,0,0,241.320236,0,71.438171,49.115,36.581563,15.8,61.095585,0.001856,0,0,0,0,200,0.97508,0.075798,15.564764,87.329415,0,64.696598
